network_type,model,node,entity_type,is_seed,in_degree,out_degree,total_degree,degree_centrality,betweenness,pagerank,total_degree_rank,betweenness_rank,pagerank_rank
controlled_seed_network,arc_apex,A. Philip Randolph,activist,True,0,2,2,0.1,0.0,0.011835060693244786,12.0,13.0,12.0
controlled_seed_network,arc_apex,March on Washington for Jobs and Freedom,event,True,4,1,5,0.25,0.14229323308270675,0.04878393184458545,3.0,4.0,8.0
controlled_seed_network,arc_apex,Martin Luther King Jr.,activist,True,5,5,10,0.45,0.5085839598997494,0.09061021144966602,1.0,1.0,5.0
controlled_seed_network,arc_apex,Andrew Young,activist,True,0,1,1,0.05,0.0,0.011835060693244786,15.0,13.0,12.0
controlled_seed_network,arc_apex,Southern Christian Leadership Conference,organisation,True,3,1,4,0.2,0.17820802005012534,0.06900265938752434,4.0,3.0,6.0
controlled_seed_network,arc_apex,Bayard Rustin,activist,True,0,1,1,0.05,0.0,0.011835060693244786,15.0,13.0,12.0
controlled_seed_network,arc_apex,Bob Moses,activist,True,0,3,3,0.15000000000000002,0.046629072681704256,0.011835060693244786,7.0,11.0,12.0
controlled_seed_network,arc_apex,John Lewis,activist,True,1,2,3,0.15000000000000002,0.04943609022556392,0.01518834735535641,7.0,10.0,11.0
controlled_seed_network,arc_apex,Student Nonviolent Coordinating Committee,organisation,True,7,2,9,0.35000000000000003,0.3051127819548871,0.209898974921761,2.0,2.0,1.0
controlled_seed_network,arc_apex,Diane Nash,activist,True,0,1,1,0.05,0.0,0.011835060693244786,15.0,13.0,12.0
controlled_seed_network,arc_apex,Rosa Parks,activist,True,3,1,4,0.2,0.13172932330827067,0.055553202856149106,4.0,5.0,7.0
controlled_seed_network,arc_apex,Ella Baker,activist,True,1,3,4,0.15000000000000002,0.11036340852130327,0.10104401592889924,4.0,6.0,3.0
controlled_seed_network,arc_apex,Fannie Lou Hamer,activist,True,0,2,2,0.1,0.029824561403508767,0.011835060693244786,12.0,12.0,12.0
controlled_seed_network,arc_apex,Freedom Rides,event,True,1,1,2,0.05,0.0,0.10104401592889924,12.0,13.0,3.0
controlled_seed_network,arc_apex,James Forman,activist,True,0,1,1,0.05,0.0,0.011835060693244786,15.0,13.0,12.0
controlled_seed_network,arc_apex,James Lawson,activist,True,0,1,1,0.05,0.0,0.011835060693244786,15.0,13.0,12.0
controlled_seed_network,arc_apex,Malcolm X,activist,True,2,1,3,0.1,0.09999999999999999,0.037298937456119056,7.0,7.0,9.0
controlled_seed_network,arc_apex,Montgomery Bus Boycott,event,True,3,0,3,0.15000000000000002,0.08203007518796993,0.11592615848247315,7.0,9.0,2.0
controlled_seed_network,arc_apex,National Association for the Advancement of Colored People,organisation,True,2,1,3,0.15000000000000002,0.09999999999999999,0.037298937456119056,7.0,7.0,9.0
controlled_seed_network,arc_apex,Medgar Evers,activist,True,0,1,1,0.05,0.0,0.011835060693244786,15.0,13.0,12.0
controlled_seed_network,arc_apex,Stokely Carmichael,activist,True,0,1,1,0.05,0.0,0.011835060693244786,15.0,13.0,12.0
controlled_seed_network,arc_lite,A. Philip Randolph,activist,True,0,3,3,0.15000000000000002,0.02631578947368421,0.009817511412922544,8.0,10.0,14.0
controlled_seed_network,arc_lite,Bayard Rustin,activist,True,1,1,2,0.1,0.0,0.012599139657549243,14.0,13.0,12.0
controlled_seed_network,arc_lite,March on Washington for Jobs and Freedom,event,True,4,2,6,0.25,0.11131578947368422,0.03531604086002178,4.0,5.0,8.0
controlled_seed_network,arc_lite,Martin Luther King Jr.,activist,True,6,7,13,0.55,0.5262280701754387,0.05478939539552152,1.0,1.0,4.0
controlled_seed_network,arc_lite,Andrew Young,activist,True,0,1,1,0.05,0.0,0.009817511412922544,16.0,13.0,14.0
controlled_seed_network,arc_lite,Southern Christian Leadership Conference,organisation,True,3,1,4,0.2,0.16359649122807016,0.04590847944288348,7.0,3.0,5.0
controlled_seed_network,arc_lite,Bob Moses,activist,True,0,3,3,0.15000000000000002,0.04008771929824562,0.009817511412922544,8.0,8.0,14.0
controlled_seed_network,arc_lite,John Lewis,activist,True,1,2,3,0.15000000000000002,0.039912280701754385,0.012599139657549243,8.0,9.0,12.0
controlled_seed_network,arc_lite,Student Nonviolent Coordinating Committee,organisation,True,6,2,8,0.35000000000000003,0.2556140350877193,0.07715695356593932,2.0,2.0,3.0
controlled_seed_network,arc_lite,Diane Nash,activist,True,0,1,1,0.05,0.0,0.009817511412922544,16.0,13.0,14.0
controlled_seed_network,arc_lite,Montgomery Bus Boycott,event,True,6,1,7,0.30000000000000004,0.13964912280701752,0.2728746343216211,3.0,4.0,1.0
