source,target,relation_count,relations,model_count,models,documents,example_evidence
Dave Dennis,Medgar Evers,5,associated_with; collaborated_with; connected_to; influenced_by; participated_in,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"I remember my last words with my friend Medgar, just one hour before he was gunned down in his yard || Dennis shares with his son the last words he spoke to Medgar Evers. [...] Returning Evers's car just hours before he was assassinated, Dennis teased him || the murder of his friend and mentor Medgar Evers || Dennis shares with his son the last words he spoke to Medgar Evers."
Modjeska Monteith Simkins,National Association for the Advancement of Colored People,5,associated_with; leader_of; member_of; opposed_to; participated_in,3,arc_apex; arc_lite; qwen_plus,Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,"Modjeska Simkins and the South Carolina Conference of the NAACP || Modjeska Simkins and the South Carolina Conference of the NAACP, 1939–1957 || Simkins fell steadily out of favour with important factions within the state NAACP leadership || Woods, 'Modjeska Simkins and the South Carolina Conference of the NAACP', 102. || she began attending local NAACP meetings in her teens || in 1941 she became the Association's state secretary || who succeeded her as the NAACP Secretary of the State Conference of Branches || she was serving on the Executive Committee of the Columbia NAACP || she denounced the NAACP's local male leaders as too complacent and conciliatory"
Dave Dennis,James Chaney,4,associated_with; collaborated_with; connected_to; participated_in,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"Dennis's eulogy at Chaney's memorial || his friend and colleague James Chaney || Asked to speak at Chaney's funeral to give mourners peace and succour, Dennis could see causes but no cure and delivered a visceral eulogy || I remember my last words with Chaney, Goodman, and Schwerner, the day before they were killed"
Modjeska Monteith Simkins,Richland County Citizens Committee,4,associated_with; leader_of; member_of; organised,3,arc_apex; arc_lite; qwen_plus,Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,"RCCC Radio Programme, 21 June 1972, 1: Simkins Papers, Topical Papers: Richland County Citizens Committee || she served as director of publicity for the Richland County Citizens Committee || It was as a representative of the RCCC that Simkins first began to appear regularly on WOIC || which she had helped to found in 1944"
Sojourner Truth Motor Fleet,Student Nonviolent Coordinating Committee,4,associated_with; connected_to; member_of; organised,3,arc_apex; arc_lite; qwen_plus,s41599-024-03182-3,SNCC leaders such as Robinson to rename their subversive transportation system... The example of the Sojourner Motor Fleet || This under-acknowledged piece of SNCC naming heritage || Sojourner Motor Fleet. In: SNCC Digital Gateway. https://snccdigital.org/inside-sncc/sncc-national-office/ || The decision of SNCC leaders such as Robinson to rename their subversive transportation system for Sojourner Truth || SNCC’s named transport system signaled an attempt to transform the relationship between race and mobility in America
Southern Christian Leadership Conference,St Augustine,4,associated_with; connected_to; organised; participated_in,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"Smathers... suspected that the SCLC faked the attack || Taylor Branch's Pillar of Fire (1998) provides a masterly account of the SCLC's operations in St Augustine. || a biracial group that included Reverend Andrew Young of the SCLC || he filed lawsuits on behalf of the SCLC because biracial negotiations broke down. He targeted fifteen motels and restaurants in the St Augustine area || the SCLC protests were nonviolent || the SCLC sought to sustain the momentum by organizing night marches || the Southern Christian Leadership Conference (SCLC) campaigned there to desegregate dining and lodging facilities || the SCLC campaign || the Southern Christian Leadership Conference under Martin Luther King, Jr picked St Augustine to highlight the persistence of legally enforced white supremacy || Blacks and other Whites from elsewhere joined them and the SCLC demonstrators"
A. Philip Randolph,Civil Rights Movement,3,associated_with; leader_of; participated_in,3,arc_apex; arc_lite; qwen_plus,MorrisAnnRev1999CRM; the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,"The expertise of leaders such as Ella Baker, A Philip Randolph, Bayard Rustin, and Septima Clark supplied the movement with vision and technical knowledge pertaining to collective action. || the Black labor and civil rights leader A. Philip Randolph || The expertise of leaders such as... A Philip Randolph... supplied the movement with vision and technical knowledge || Black leaders from previous movements played important roles in the civil rights movement. The expertise of leaders such as Ella Baker, A Philip Randolph, Bayard Rustin, and Septima Clark supplied the movement with vision and technical knowledge pertaining to collective action."
Alvin J. Bronstein,St Augustine,3,associated_with; located_in; participated_in,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"By helping to make the law applicable to St Augustine, Bronstein earned the gratitude of the movement there. || He targeted fifteen motels and restaurants in the St Augustine area and continued to monitor their compliance || The LCDC assigned Bronstein to St Augustine because an experienced litigator was needed there. || the crisis attracted outside attorneys like Alvin J. Bronstein to protect the rights of protestors || By helping to make the law applicable to St Augustine, Bronstein earned the gratitude of the movement there."
Bayard Rustin,Civil Rights Movement,3,associated_with; leader_of; participated_in,3,arc_apex; arc_lite; qwen_plus,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities; Hughes; MorrisAnnRev1999CRM,"Jerald Podair (2008). Bayard Rustin: American Dreamer || Bayard Rustin (1971: 111) identified as the 'classical phase' of the movement || a major tactician of the civil rights movement || The expertise of leaders such as Ella Baker, A Philip Randolph, Bayard Rustin, and Septima Clark supplied the movement with vision and technical knowledge pertaining to collective action."
Bayard Rustin,Freedom Budget for All Americans,3,associated_with; leader_of; organised,3,arc_apex; arc_lite; qwen_plus,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,He championed a Freedom Budget for All Americans || He championed a Freedom Budget for All Americans || Rustin championed a Freedom Budget for All Americans in October 1966
Bayard Rustin,Solidarity movement,3,associated_with; collaborated_with; connected_to,3,arc_apex; arc_lite; qwen_plus,MorrisAnnRev1999CRM,"was summoned to Poland to give a series of colloquia and speeches || in the early days of the Solidarity movement in Poland, Bayard Rustin... was summoned to Poland to give a series of colloquia || in the early days of the Solidarity movement in Poland, Bayard Rustin, a major tactician of the civil rights movement, was summoned to Poland to give a series of colloquia and speeches on how nonviolent direct action worked in the civil rights movement"
Brown v. Board of Education,Civil Rights Movement,3,associated_with; connected_to; participated_in,3,arc_apex; arc_lite; qwen_plus,Hughes; M12_Frost,"framed by legal victories such as Brown v. Board of Education (1954) || of the 72% of students who mentioned Brown v. Board of Education (1954), 65% labeled it the Movement's ""first victory."" || using either Brown v. Board of Education or the Montgomery bus boycott as the starting point || framed by legal victories such as Brown v. Board of Education (1954)"
Civil Rights Act 1964,Civil Rights Movement,3,associated_with; connected_to; participated_in,3,arc_apex; arc_lite; qwen_plus,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities; Hughes; M12_Frost; MorrisAnnRev1999CRM,"as evidenced by the Civil Rights Acts 1964 and 1965 || as evidenced by the Civil Rights Acts 1964 and 1965 || legislation, and others generated by the civil rights movement || The Bill of the Century: The Epic Battle for the Civil Rights Act"
Fannie Lou Hamer,Student Nonviolent Coordinating Committee,3,associated_with; leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment; s41599-024-03182-3,After SNCC's Fannie Lou Hamer || After SNCC's Fannie Lou Hamer was severely injured in jail || some of SNCC’s most noted women leaders... honoring Fannie Lou Hamer || SNCC’s Fannie Lou Hamer
Federal Bureau of Investigation,Martin Luther King Jr.,3,associated_with; connected_to; opposed_to,3,arc_apex; arc_lite; qwen_plus,Hughes; JAS - MLK teaching UK schools,"Federal Bureau of Investigation (FBI) letter to Martin Luther King, 1964 || the FBI letter to King || the FBI campaigns against King || the FBI letter to King"
