document,arc_apex,arc_lite,qwen_plus
Intergenerational movement memoirs and the emotional costs of activist commitment,63.0,48.0,51.0
MorrisAnnRev1999CRM,63.0,39.0,53.0
A fight for racial equality in Florida,71.0,43.0,41.0
s41599-024-03182-3,57.0,35.0,48.0
JAS - MLK teaching UK schools,53.0,32.0,25.0
Hughes,26.0,19.0,17.0
Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,25.0,13.0,15.0
Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,20.0,13.0,8.0
M12_Frost,15.0,7.0,10.0
the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,16.0,3.0,6.0
The Black Power Movement  A historiographical understanding of how scholarship has shaped the legacy of the Black Power Movement,3.0,1.0,0.0
