document,model,unique_edges
A fight for racial equality in Florida,arc_apex,71
A fight for racial equality in Florida,arc_lite,43
A fight for racial equality in Florida,qwen_plus,41
Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,arc_apex,20
Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,arc_lite,13
Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,qwen_plus,8
Hughes,arc_apex,26
Hughes,arc_lite,19
Hughes,qwen_plus,17
Intergenerational movement memoirs and the emotional costs of activist commitment,arc_apex,63
Intergenerational movement memoirs and the emotional costs of activist commitment,arc_lite,48
Intergenerational movement memoirs and the emotional costs of activist commitment,qwen_plus,51
JAS - MLK teaching UK schools,arc_apex,53
JAS - MLK teaching UK schools,arc_lite,32
JAS - MLK teaching UK schools,qwen_plus,25
M12_Frost,arc_apex,15
M12_Frost,arc_lite,7
M12_Frost,qwen_plus,10
Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,arc_apex,25
Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,arc_lite,13
Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,qwen_plus,15
MorrisAnnRev1999CRM,arc_apex,63
MorrisAnnRev1999CRM,arc_lite,39
MorrisAnnRev1999CRM,qwen_plus,53
The Black Power Movement  A historiographical understanding of how scholarship has shaped the legacy of the Black Power Movement,arc_apex,3
The Black Power Movement  A historiographical understanding of how scholarship has shaped the legacy of the Black Power Movement,arc_lite,1
s41599-024-03182-3,arc_apex,57
s41599-024-03182-3,arc_lite,35
s41599-024-03182-3,qwen_plus,48
the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,arc_apex,16
the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,arc_lite,3
the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,qwen_plus,6
