document,model,unique_relationships,selected_chunks,relationships_per_selected_chunk
A fight for racial equality in Florida,arc_apex,71.0,23,3.0869565217391304
MorrisAnnRev1999CRM,arc_apex,63.0,22,2.8636363636363638
Intergenerational movement memoirs and the emotional costs of activist commitment,arc_apex,63.0,23,2.739130434782609
M12_Frost,arc_apex,15.0,8,1.875
s41599-024-03182-3,arc_apex,57.0,31,1.8387096774193548
Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,arc_apex,20.0,11,1.8181818181818181
The Black Power Movement  A historiographical understanding of how scholarship has shaped the legacy of the Black Power Movement,arc_apex,3.0,2,1.5
Hughes,arc_apex,26.0,18,1.4444444444444444
JAS - MLK teaching UK schools,arc_apex,53.0,46,1.1521739130434783
Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,arc_apex,25.0,24,1.0416666666666667
the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,arc_apex,16.0,20,0.8
Intergenerational movement memoirs and the emotional costs of activist commitment,arc_lite,48.0,23,2.0869565217391304
A fight for racial equality in Florida,arc_lite,43.0,23,1.8695652173913044
MorrisAnnRev1999CRM,arc_lite,39.0,22,1.7727272727272727
Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,arc_lite,13.0,11,1.1818181818181819
s41599-024-03182-3,arc_lite,35.0,31,1.1290322580645162
Hughes,arc_lite,19.0,18,1.0555555555555556
M12_Frost,arc_lite,7.0,8,0.875
JAS - MLK teaching UK schools,arc_lite,32.0,46,0.6956521739130435
Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,arc_lite,13.0,24,0.5416666666666666
The Black Power Movement  A historiographical understanding of how scholarship has shaped the legacy of the Black Power Movement,arc_lite,1.0,2,0.5
the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,arc_lite,3.0,20,0.15
MorrisAnnRev1999CRM,qwen_plus,53.0,22,2.409090909090909
Intergenerational movement memoirs and the emotional costs of activist commitment,qwen_plus,51.0,23,2.217391304347826
A fight for racial equality in Florida,qwen_plus,41.0,23,1.7826086956521738
s41599-024-03182-3,qwen_plus,48.0,31,1.5483870967741935
M12_Frost,qwen_plus,10.0,8,1.25
Hughes,qwen_plus,17.0,18,0.9444444444444444
Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,qwen_plus,8.0,11,0.7272727272727273
Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,qwen_plus,15.0,24,0.625
JAS - MLK teaching UK schools,qwen_plus,25.0,46,0.5434782608695652
the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,qwen_plus,6.0,20,0.3
The Black Power Movement  A historiographical understanding of how scholarship has shaped the legacy of the Black Power Movement,qwen_plus,0.0,2,0.0
