model,relation,count,network_type,proportion
arc_apex,associated_with,18,controlled_seed_network,0.391304347826087
arc_apex,collaborated_with,1,controlled_seed_network,0.021739130434782608
arc_apex,connected_to,4,controlled_seed_network,0.08695652173913043
arc_apex,influenced_by,2,controlled_seed_network,0.043478260869565216
arc_apex,leader_of,8,controlled_seed_network,0.17391304347826086
arc_apex,member_of,3,controlled_seed_network,0.06521739130434782
arc_apex,opposed_to,2,controlled_seed_network,0.043478260869565216
arc_apex,organised,2,controlled_seed_network,0.043478260869565216
arc_apex,participated_in,6,controlled_seed_network,0.13043478260869565
arc_lite,associated_with,34,controlled_seed_network,0.5483870967741935
arc_lite,collaborated_with,2,controlled_seed_network,0.03225806451612903
arc_lite,connected_to,1,controlled_seed_network,0.016129032258064516
arc_lite,influenced_by,2,controlled_seed_network,0.03225806451612903
arc_lite,leader_of,3,controlled_seed_network,0.04838709677419355
arc_lite,located_in,1,controlled_seed_network,0.016129032258064516
arc_lite,member_of,7,controlled_seed_network,0.11290322580645161
arc_lite,opposed_to,2,controlled_seed_network,0.03225806451612903
arc_lite,organised,1,controlled_seed_network,0.016129032258064516
arc_lite,participated_in,9,controlled_seed_network,0.14516129032258066
qwen_plus,associated_with,21,controlled_seed_network,0.3088235294117647
qwen_plus,collaborated_with,3,controlled_seed_network,0.04411764705882353
qwen_plus,connected_to,1,controlled_seed_network,0.014705882352941176
qwen_plus,influenced_by,1,controlled_seed_network,0.014705882352941176
qwen_plus,leader_of,7,controlled_seed_network,0.10294117647058823
qwen_plus,member_of,13,controlled_seed_network,0.19117647058823528
qwen_plus,opposed_to,3,controlled_seed_network,0.04411764705882353
qwen_plus,organised,6,controlled_seed_network,0.08823529411764706
qwen_plus,participated_in,13,controlled_seed_network,0.19117647058823528
arc_apex,associated_with,177,expanded_second_pass,0.42961165048543687
arc_apex,collaborated_with,16,expanded_second_pass,0.038834951456310676
arc_apex,connected_to,31,expanded_second_pass,0.07524271844660194
arc_apex,influenced_by,24,expanded_second_pass,0.05825242718446602
arc_apex,leader_of,29,expanded_second_pass,0.0703883495145631
arc_apex,located_in,24,expanded_second_pass,0.05825242718446602
arc_apex,member_of,19,expanded_second_pass,0.04611650485436893
arc_apex,opposed_to,31,expanded_second_pass,0.07524271844660194
arc_apex,organised,19,expanded_second_pass,0.04611650485436893
arc_apex,participated_in,42,expanded_second_pass,0.10194174757281553
arc_lite,associated_with,90,expanded_second_pass,0.3557312252964427
arc_lite,collaborated_with,12,expanded_second_pass,0.04743083003952569
arc_lite,connected_to,11,expanded_second_pass,0.043478260869565216
arc_lite,influenced_by,10,expanded_second_pass,0.039525691699604744
arc_lite,leader_of,23,expanded_second_pass,0.09090909090909091
arc_lite,located_in,22,expanded_second_pass,0.08695652173913043
arc_lite,member_of,35,expanded_second_pass,0.1383399209486166
arc_lite,opposed_to,15,expanded_second_pass,0.05928853754940711
arc_lite,organised,11,expanded_second_pass,0.043478260869565216
arc_lite,participated_in,24,expanded_second_pass,0.09486166007905138
qwen_plus,associated_with,68,expanded_second_pass,0.24817518248175183
qwen_plus,collaborated_with,14,expanded_second_pass,0.051094890510948905
qwen_plus,connected_to,4,expanded_second_pass,0.014598540145985401
qwen_plus,influenced_by,15,expanded_second_pass,0.05474452554744526
qwen_plus,leader_of,13,expanded_second_pass,0.04744525547445255
qwen_plus,located_in,16,expanded_second_pass,0.058394160583941604
qwen_plus,member_of,31,expanded_second_pass,0.11313868613138686
qwen_plus,opposed_to,25,expanded_second_pass,0.09124087591240876
qwen_plus,organised,28,expanded_second_pass,0.10218978102189781
qwen_plus,participated_in,60,expanded_second_pass,0.21897810218978103
