model,entity,total_degree,pagerank,betweenness,document,chunk,source,relation,target,confidence,evidence
arc_apex,Civil Rights Movement,62,0.05880706476141631,0.43541345677169063,A fight for racial equality in Florida,,Civil Rights Movement,associated_with,Florida,,this essay addresses specifically with regard to the fight in Florida
arc_apex,Civil Rights Movement,62,0.05880706476141631,0.43541345677169063,A fight for racial equality in Florida,,Civil Rights Movement,associated_with,National Association for the Advancement of Colored People,,a civil rights organization that the legislature deemed 'subversive'
arc_apex,Civil Rights Movement,62,0.05880706476141631,0.43541345677169063,A fight for racial equality in Florida,,Civil Rights Movement,associated_with,St Augustine,,"Congress debated in the shadow of the 'troubles' in St Augustine. Without the inclusion of that provision, the Civil Rights Movement promised further protests."
arc_apex,Civil Rights Movement,62,0.05880706476141631,0.43541345677169063,A fight for racial equality in Florida,,Civil Rights Movement,associated_with,Tobias Simon,,"Tobias Simon, 52, a lawyer in civil rights causes in 60's"
arc_apex,Civil Rights Movement,62,0.05880706476141631,0.43541345677169063,A fight for racial equality in Florida,,Civil Rights Movement,connected_to,Florida,,Florida a tempting target for the Civil Rights Movement
arc_apex,Martin Luther King Jr.,43,0.045976716965122136,0.24718691461176928,A fight for racial equality in Florida,,Israel S. (Sy) Dresner,collaborated_with,Martin Luther King Jr.,,"King sent a letter to Dresner, asking him to recruit his colleagues to come to the city"
arc_apex,Martin Luther King Jr.,43,0.045976716965122136,0.24718691461176928,A fight for racial equality in Florida,,Martin Luther King Jr.,associated_with,Monson Motor Lodge,,he was arrested trying to desegregate the restaurant of the Monson Motor Lodge
arc_apex,Martin Luther King Jr.,43,0.045976716965122136,0.24718691461176928,A fight for racial equality in Florida,,Martin Luther King Jr.,associated_with,Southern Christian Leadership Conference,,Smathers... suspected that the SCLC faked the attack
arc_apex,Martin Luther King Jr.,43,0.045976716965122136,0.24718691461176928,A fight for racial equality in Florida,,Martin Luther King Jr.,associated_with,St Augustine,,"Someone with a shotgun fired a dozen shots into the beach home where Martin Luther King, Jr, was staying"
arc_apex,Martin Luther King Jr.,43,0.045976716965122136,0.24718691461176928,A fight for racial equality in Florida,,Martin Luther King Jr.,associated_with,Tobias Simon,,Simon told the judge that King himself graciously preferred Harris to simply recant his perjured testimony
